Time,FlowEvap,KWPerTon,PerChilLoad,PerFreqFanA,PerFreqFanB,PerHumidity,PowChi,PowChiP,PowConP,PowFanA,PowFanB,PowIn,TempAmbient,TempCondIn,TempCondOut,TempEvapIn,TempEvapOut,TempWetbulb,Tons
2018-06-12 04:05:00,0.0018696237809999996,0.5029177269267744,0.3995487,0.7774861,0.7774861,0.8134683000000001,162300.0,17220.0,21820.0,4460.0,4460.0,210260.0,297.0147222222222,298.46999999999997,301.04999999999995,281.14,278.71999999999997,294.61723333333333,1134947.6573195187
2018-06-12 04:10:00,0.0018535768395,0.5101767418952935,0.41523540000000003,0.7883936,0.7883936,0.8171172,169300.0,17260.0,22030.0,4710.0,4810.0,218110.0,297.0147222222222,298.58,301.26,281.25,278.73999999999995,294.5748722222222,1167052.9454585202
2018-06-12 04:15:00,0.001864692246,0.5024238634351786,0.4183936,0.7883936,0.7883936,0.8188093000000001,170400.0,17290.0,21800.0,4670.0,4670.0,218830.0,297.0147222222222,298.59,301.28,281.28999999999996,278.73999999999995,294.6245944444444,1192761.4343448011
2018-06-12 04:20:00,0.00186351036,0.5038067119934622,0.42620490000000005,0.7883936,0.7883936,0.8168335,172100.0,17290.0,21770.0,5000.0,4730.0,220890.0,297.0147222222222,298.63,301.38,281.31,278.73999999999995,294.6159611111111,1201354.4961952013
2018-06-12 04:25:00,0.0018548785965,0.5044823365463279,0.42266040000000005,0.8001026,0.8001026,0.8227441,172200.0,17160.0,21860.0,4670.0,4940.0,220830.0,296.84926666666667,298.57,301.29999999999995,281.29999999999995,278.71999999999997,294.57747777777774,1200442.7115247196
2018-06-12 04:30:00,0.0018646890915,0.5029227083827641,0.4200591,0.8001026,0.8001026,0.8291755999999999,169900.0,17240.0,21600.0,4790.0,4920.0,218450.0,296.84926666666667,298.53,301.25,281.27,278.72999999999996,294.59180555555554,1188081.9286421607
2018-06-12 04:35:00,0.0018542151000000002,0.503560248427188,0.39891570000000004,0.7883994,0.7883994,0.8331409000000001,162500.0,17300.0,22260.0,4540.0,4820.0,211420.0,296.84926666666667,298.47999999999996,301.08,281.15,278.71,294.60571666666664,1134896.307743999
2018-06-12 04:40:00,0.001861190751,0.502874050253649,0.41830779999999995,0.7883994,0.7883994,0.8313408000000001,170900.0,17190.0,21920.0,4330.0,4500.0,218840.0,296.68196666666665,298.45,301.09999999999997,281.28,278.71999999999997,294.52719444444443,1195190.3948185595
2018-06-12 04:45:00,0.0018597806895000002,0.4840790860651898,0.49804629999999994,0.8283309,0.8283309,0.8375608000000001,192000.0,17110.0,22090.0,5020.0,5040.0,241260.0,296.68196666666665,298.84,302.03999999999996,281.62,278.63,294.57447777777776,1394887.4459514813
2018-06-12 04:50:00,0.001861047747,0.486889621008077,0.4990464,0.8407204,0.8407204,0.8396174000000001,192600.0,17210.0,22030.0,5440.0,5650.0,242930.0,296.68196666666665,298.73999999999995,301.92999999999995,281.64,278.65999999999997,294.55915,1391169.4206945593
2018-06-12 04:55:00,0.0018678751365,0.4757948785560127,0.4895738,0.8512649999999999,0.8512649999999999,0.8365231,187000.0,17310.0,21660.0,5930.0,6010.0,237910.0,296.68196666666665,298.64,301.78,281.59,278.64,294.4930444444444,1382216.5873858007
2018-06-12 05:00:00,0.0018593558835,0.4728414876401945,0.48593379999999997,0.8621089000000001,0.8621089000000001,0.8321001,187500.0,17160.0,22030.0,6130.0,5970.0,238790.0,296.68196666666665,298.56,301.7,281.60999999999996,278.62,294.45221666666663,1394568.8295900412
2018-06-12 05:05:00,0.0018552350549999998,0.4791236950996119,0.4877063,0.8724061000000001,0.8724061000000001,0.8385519000000001,186400.0,17090.0,21930.0,6120.0,6410.0,237950.0,296.5057777777778,298.47999999999996,301.62,281.60999999999996,278.66999999999996,294.44988888888884,1368209.228719201
2018-06-12 05:10:00,0.0018583096409999999,0.4795959138209686,0.4988814,0.8489834,0.8489834,0.8461759000000001,188800.0,17220.0,22070.0,5800.0,5900.0,239790.0,296.5057777777778,298.33,301.55999999999995,281.65,278.67999999999995,294.51910555555554,1384461.1478095192
2018-06-12 05:15:00,0.001874658363,0.4653410844200607,0.5697462,0.8748845,0.8748845,0.8451466999999999,212800.0,17220.0,21830.0,6460.0,6260.0,264570.0,296.5057777777778,298.59999999999997,302.24,282.07,278.65,294.4968833333333,1608253.41752496
2018-06-12 05:20:00,0.001868837259,0.4686563464221178,0.5713174,0.8895509,0.8895509,0.8501189000000001,214900.0,17250.0,21990.0,6680.0,6600.0,267420.0,296.3303388888889,298.58,302.22999999999996,282.08,278.64,294.4225388888889,1612635.3288569602
2018-06-12 05:25:00,0.0018685333755000001,0.4616345008608394,0.5599125,0.8895509,0.8895509,0.8539860999999999,209800.0,17110.0,21670.0,6580.0,6760.0,261920.0,296.3303388888889,298.48999999999995,302.09999999999997,282.04999999999995,278.64,294.5341055555555,1598311.7118790816
2018-06-12 05:30:00,0.001864420959,0.4670631607296021,0.5663411,0.8789695999999999,0.8789695999999999,0.8574303000000001,211800.0,17120.0,21940.0,6630.0,6470.0,263960.0,296.3303388888889,298.54999999999995,302.17999999999995,282.09,278.67999999999995,294.54395,1594794.0206554395
2018-06-12 05:35:00,0.0018599920409999998,0.4711572485671545,0.5926659,0.8917036,0.8917036,0.8523478,221900.0,17320.0,22130.0,6750.0,6580.0,274680.0,296.3303388888889,298.59,302.35999999999996,282.26,278.71,294.5607722222222,1656325.4774068003
2018-06-12 05:40:00,0.001869358803,0.4680184851265928,0.5991548,0.8917036,0.8917036,0.8564758,225900.0,17180.0,22050.0,6430.0,6640.0,278200.0,296.3303388888889,298.53,302.35999999999996,282.34999999999997,278.72999999999996,294.62494999999996,1697491.0035553612
2018-06-12 05:45:00,0.0018730947825,0.4703672059101099,0.6260645,0.8917036,0.8917036,0.8554857,234400.0,17250.0,22140.0,6910.0,6830.0,287530.0,296.3303388888889,298.64,302.59,282.42999999999995,278.7,294.6256055555555,1752567.8044205995
2018-06-12 05:50:00,0.0018689035035,0.4671156041155328,0.6084437,0.8920414999999999,0.8920414999999999,0.8554084000000001,227900.0,17310.0,21750.0,6670.0,6620.0,280250.0,296.3303388888889,298.52,302.45,282.33,278.66999999999996,294.60642777777775,1715829.8023125601
2018-06-12 05:55:00,0.0018628584299999998,0.4711069347668457,0.6024543000000001,0.8963766,0.8963766,0.8551859,226600.0,17310.0,21790.0,6960.0,6840.0,279500.0,296.3303388888889,298.56,302.40999999999997,282.29999999999995,278.67999999999995,294.5994833333333,1691588.2712015996
2018-06-12 06:00:00,0.0018665817915,0.4760469717773324,0.6115953000000001,0.9078588000000001,0.9078588000000001,0.8479826,228800.0,17220.0,21930.0,7290.0,7250.0,282490.0,296.3303388888889,298.53999999999996,302.46,282.31,278.7,294.4611944444444,1690287.0732744397
2018-06-12 06:05:00,0.0018579952424999998,0.4737891723471483,0.5917728,0.9078588000000001,0.9078588000000001,0.8524495000000001,222900.0,17160.0,21910.0,6600.0,6820.0,275390.0,296.3303388888889,298.41999999999996,302.21999999999997,282.25,278.7,294.5293277777778,1654547.3255889998
2018-06-12 06:10:00,0.0018734533440000001,0.4653990625768987,0.6302127,0.8978725,0.8978725,0.8560086,235700.0,17150.0,22200.0,6860.0,6790.0,288700.0,296.3303388888889,298.53,302.53,282.47999999999996,278.69,294.60074444444444,1781100.129589759
2018-06-12 06:15:00,0.0018634924845,0.4789306593044786,0.6449866,0.9393404,0.9393404,0.8385316,241900.0,17160.0,22250.0,7230.0,7480.0,296020.0,296.3303388888889,298.62,302.75,282.57,278.77,294.3531888888889,1776304.7840136006
2018-06-12 06:20:00,0.0018596524065000002,0.4790433758227531,0.6524186999999999,0.9287677,0.9287677,0.8554794,244000.0,17170.0,22000.0,7070.0,7180.0,297420.0,296.3303388888889,298.54999999999995,302.72999999999996,282.62,278.78,294.63138888888886,1791303.7871769594
